user,text,latitude,longitude
ToDoListLDN,"I'm at @TheBrockleyDeli in Brockley, London https://t.co/urgz2ETxJU",51.46575097,-0.03592794
AlexNeilEA,"Property Alert: 2 Bedroom Flat For Sale https://t.co/vdGF5NpZcD
 #SterlingGardens #NewCross #SE14 ?360,000+ https://t.co/eTJ01Bers1",51.4807132,-0.042147
j_g_seki,"I'm at @TKMaxx_uk in New Cross, Greater London https://t.co/8idtoKqRzM",51.47582419,-0.04178732
j_g_seki,"I'm at @CurrysPCWorld in New Cross, Greater London https://t.co/29SIMF0n7z",51.47581185,-0.04163623
j_g_seki,I'm at Spotty Records https://t.co/DEfKeGHzcW,51.47720754,-0.04061707
j_g_seki,"I'm at New Cross NHS Walk In Centre in London, Greater London https://t.co/cNLNgyUTqt",51.47715896,-0.03968617
trafficgifs,A2 New Cross Road at Nettleton Road https://t.co/Ygia3qyPU4,51.4744,-0.04328
dragonessVEVO,and by love to be harassed and stalked up and down a street for money I mean I absolutely fucking hate it and I?m h? https://t.co/RK1yYQEKpF,51.47514366,-0.03544316
AlexNeilEA,"New Instruction: 2 Bedroom Flat For Sale https://t.co/vdGF5NHABd
 #SterlingGardens #NewCross #SE14 #DeptfordBridge #NewCrossGate ?360,000+",51.4807132,-0.042147
trafficgifs,A2 New Cross Road at Besson Street https://t.co/37Q3xrMnKV,51.4753,-0.04715
MarcoCasualty,The common consensus amongst passengers on the train to Cannon Street is nobody cares about the #RoyalWedding.  I?m? https://t.co/TU1XCS3ouz,51.48173663,-0.03383289
